,layer,nodes,lr,batch,runtime,trainAcc,testAcc
0,6,2,0.001,8,1274.9795697919908,11.236667,tensor(11.3500)
0,6,2,0.001,16,708.9369191669975,11.236667,tensor(11.3500)
0,6,2,0.001,32,430.729925874999,52.315,tensor(52.1100)
0,6,2,0.001,64,292.4407283329929,11.234325,tensor(11.3500)
0,6,2,0.001,128,221.95995941699948,61.86899,tensor(62.8600)
0,6,4,0.001,8,1306.7715141670196,35.788334,tensor(35.5200)
0,6,4,0.001,16,730.2033859170042,11.236667,tensor(11.3500)
0,6,4,0.001,32,441.1441379999742,11.236667,tensor(11.3500)
0,6,4,0.001,64,298.51832287502475,57.427296,tensor(56.7200)
0,6,4,0.001,128,1017.4117286659894,74.93156,tensor(73.0700)
0,6,8,0.001,8,1323.5301237500098,83.015,tensor(85.6700)
0,6,8,0.001,16,739.5489473750058,88.15833,tensor(88.9100)
0,6,8,0.001,32,448.4041089579987,90.54,tensor(89.8300)
0,6,8,0.001,64,1211.6805508749967,92.70111,tensor(92.1200)
0,6,8,0.001,128,1026.6712275000173,86.65365,tensor(85.3000)
0,6,16,0.001,8,1370.2330538750102,91.50166,tensor(90.8900)
0,6,16,0.001,16,764.1984288330132,89.65,tensor(91.4700)
0,6,16,0.001,32,2236.3204812500044,90.785,tensor(91.2100)
0,6,16,0.001,64,1396.818801290996,93.98846,tensor(94.3000)
0,6,16,0.001,128,1069.3507216659782,95.95353,tensor(94.7500)
0,6,32,0.001,8,1457.167408666981,83.885,tensor(84.3200)
0,6,32,0.001,16,4690.594244084001,89.19666,tensor(89.4400)
0,6,32,0.001,32,2574.0833963339974,92.85333,tensor(91.9300)
0,6,32,0.001,64,1739.4477487920085,93.90842,tensor(93.6100)
0,6,32,0.001,128,1319.8094382089912,94.84843,tensor(94.9300)
