,layer,nodes,lr,batch,runtime,trainAcc,testAcc
0,10,2,0.001,8,1941.122103083002,11.236667,tensor(11.3500)
0,10,2,0.001,16,1029.4736090000006,11.236667,tensor(11.3500)
0,10,2,0.001,32,591.4341237500012,11.236667,tensor(11.3500)
0,10,2,0.001,64,372.0353065420022,11.235992,tensor(11.3500)
0,10,2,0.001,128,258.62534691699693,44.93523,tensor(44.1000)
0,10,4,0.001,8,2223.4118441249957,9.915,tensor(10.0900)
0,10,4,0.001,16,1069.327742333,59.128334,tensor(59.1400)
0,10,4,0.001,32,606.2065541250049,48.431667,tensor(48.8500)
0,10,4,0.001,64,377.4385232920031,63.78068,tensor(61.7200)
0,10,4,0.001,128,1313.6046784999999,62.164463,tensor(62.0100)
0,10,8,0.001,8,2059.9002435,42.655,tensor(46.0400)
0,10,8,0.001,16,1164.4748311250005,61.411667,tensor(60.8500)
0,10,8,0.001,32,708.6501153330028,75.57,tensor(77.5400)
0,10,8,0.001,64,2846.5726921250025,90.62333,tensor(89.8700)
0,10,8,0.001,128,1555.4533403749956,85.14123,tensor(84.5500)
0,10,16,0.001,8,2102.348012542003,12.643333,tensor(12.9300)
0,10,16,0.001,16,1131.5774119170019,83.26667,tensor(83.5200)
0,10,16,0.001,32,5897.077322915997,74.66,tensor(73.7800)
0,10,16,0.001,64,3149.463503167004,92.52268,tensor(92.3700)
0,10,16,0.001,128,1594.101746124994,89.19271,tensor(88.7100)
0,10,32,0.001,8,2199.4590824999977,19.676666,tensor(19.8400)
0,10,32,0.001,16,11081.052755458993,18.885,tensor(19.0100)
0,10,32,0.001,32,4957.406915417014,68.355,tensor(69.3500)
0,10,32,0.001,64,3393.1625026669935,87.32658,tensor(88.1500)
0,10,32,0.001,128,1802.942675290993,88.7303,tensor(88.9700)
