,layer,nodes,lr,batch,runtime,trainAcc,testAcc
0,4,2,0.001,8,855.9916356250033,11.236667,tensor(11.3500)
0,4,2,0.001,16,500.54079033300513,51.996666,tensor(51.5100)
0,4,2,0.001,32,326.22517975000665,69.955,tensor(68.4400)
0,4,2,0.001,64,236.70272945900797,41.98906,tensor(41.4800)
0,4,2,0.001,128,182.54120970799704,11.23965,tensor(11.3500)
0,4,4,0.001,8,920.7826418339973,11.236667,tensor(11.3500)
0,4,4,0.001,16,535.6079767499905,79.53333,tensor(77.6900)
0,4,4,0.001,32,342.3445098330121,74.435,tensor(72.7600)
0,4,4,0.001,64,243.28526379200048,88.23373,tensor(86.2600)
0,4,4,0.001,128,1130.547943209007,87.2279,tensor(85.4200)
0,4,8,0.001,8,938.3282272920042,92.08667,tensor(91.5200)
0,4,8,0.001,16,545.6553780420072,92.361664,tensor(90.5300)
0,4,8,0.001,32,347.10976949999167,94.18833,tensor(92.9100)
0,4,8,0.001,64,1885.253605542006,94.79889,tensor(93.1700)
0,4,8,0.001,128,1149.2061604170012,86.75881,tensor(84.1100)
0,4,16,0.001,8,991.9348365000042,92.278336,tensor(93.0900)
0,4,16,0.001,16,568.5690235410002,94.403336,tensor(93.9000)
0,4,16,0.001,32,3648.546114083001,95.245,tensor(94.8300)
0,4,16,0.001,64,2092.240287958004,87.79682,tensor(85.2300)
0,4,16,0.001,128,1308.3325040409982,97.6045,tensor(95.3000)
0,4,32,0.001,8,1074.181315416994,93.13,tensor(93.0400)
0,4,32,0.001,16,7489.097931416996,94.125,tensor(92.8900)
0,4,32,0.001,32,4012.5967360409995,95.973335,tensor(93.8700)
0,4,32,0.001,64,2398.332578665999,97.068436,tensor(95.2000)
0,4,32,0.001,128,1633.2390080410114,98.41246,tensor(96.9400)
